model,model_short,regime,coverage,accuracy_mean,accuracy_seed_ci_low,accuracy_seed_ci_high,aurc_mean,ece_raw_mean,ece_calibrated_mean
cssl_amc_supervised_adaptation,CSSL,combined_ood,0.2,0.9581000000000002,0.9496394784462205,0.9665605215537798,0.24394589728612354,0.1122961869865656,0.06880067223131656
cssl_amc_supervised_adaptation,CSSL,combined_ood,0.3,0.9019333333333333,0.8936595004062613,0.9102071662604052,0.24394589728612354,0.1122961869865656,0.06880067223131656
cssl_amc_supervised_adaptation,CSSL,combined_ood,0.5,0.7437199999999999,0.7378526389551917,0.7495873610448082,0.24394589728612354,0.1122961869865656,0.06880067223131656
cssl_amc_supervised_adaptation,CSSL,combined_ood,0.7,0.6213714285714286,0.6171060817545831,0.625636775388274,0.24394589728612354,0.1122961869865656,0.06880067223131656
cssl_amc_supervised_adaptation,CSSL,combined_ood,0.9,0.5328666666666667,0.5295741098170327,0.5361592235163007,0.24394589728612354,0.1122961869865656,0.06880067223131656
cssl_amc_supervised_adaptation,CSSL,combined_ood,1.0,0.49766000000000005,0.4946816935199595,0.5006383064800406,0.24394589728612354,0.1122961869865656,0.06880067223131656
cssl_amc_supervised_adaptation,CSSL,clean_retention,0.1,0.991,0.987610956024761,0.994389043975239,0.13720936073539017,0.09630657764256001,0.08731695997118948
cssl_amc_supervised_adaptation,CSSL,clean_retention,0.2,0.9906000000000003,0.9871908825384145,0.994009117461586,0.13720936073539017,0.09630657764256001,0.08731695997118948
cssl_amc_supervised_adaptation,CSSL,clean_retention,0.3,0.9875333333333334,0.9832086385493852,0.9918580281172815,0.13720936073539017,0.09630657764256001,0.08731695997118948
cssl_amc_supervised_adaptation,CSSL,clean_retention,0.5,0.9180399999999999,0.9130922210327365,0.9229877789672633,0.13720936073539017,0.09630657764256001,0.08731695997118948
cssl_amc_supervised_adaptation,CSSL,clean_retention,0.7,0.7672285714285714,0.7642092088171913,0.7702479340399514,0.13720936073539017,0.09630657764256001,0.08731695997118948
cssl_amc_supervised_adaptation,CSSL,clean_retention,0.9,0.6510222222222223,0.6474445938865461,0.6545998505578985,0.13720936073539017,0.09630657764256001,0.08731695997118948
cssl_amc_supervised_adaptation,CSSL,clean_retention,1.0,0.6039999999999999,0.600317011757001,0.6076829882429987,0.13720936073539017,0.09630657764256001,0.08731695997118948
mcldnn_reimplementation,MCLDNN,hard_interference,0.1,0.9962,0.9937265242602339,0.9986734757397661,0.23477407571904058,0.05997023780077695,0.07938993999585509
mcldnn_reimplementation,MCLDNN,hard_interference,0.2,0.9937000000000001,0.9922673004635258,0.9951326995364744,0.23477407571904058,0.05997023780077695,0.07938993999585509
mcldnn_reimplementation,MCLDNN,hard_interference,0.3,0.9673333333333334,0.9629508824589833,0.9717157842076835,0.23477407571904058,0.05997023780077695,0.07938993999585509
mcldnn_reimplementation,MCLDNN,hard_interference,0.5,0.75764,0.7504814093074869,0.7647985906925131,0.23477407571904058,0.05997023780077695,0.07938993999585509
mcldnn_reimplementation,MCLDNN,hard_interference,0.7,0.6055714285714286,0.5977794877111654,0.6133633694316919,0.23477407571904058,0.05997023780077695,0.07938993999585509
mcldnn_reimplementation,MCLDNN,hard_interference,0.9,0.5063333333333333,0.501066682728657,0.5115999839380097,0.23477407571904058,0.05997023780077695,0.07938993999585509
mcldnn_reimplementation,MCLDNN,hard_interference,1.0,0.46875999999999995,0.4640250313182625,0.4734949686817374,0.23477407571904058,0.05997023780077695,0.07938993999585509
mcldnn_reimplementation,MCLDNN,id_test,0.1,0.9982000000000001,0.9963591235186728,1.0000408764813273,0.10259548586835691,0.0550989887097478,0.023127425669729716
mcldnn_reimplementation,MCLDNN,id_test,0.2,0.9974999999999999,0.995676190588591,0.9993238094114089,0.10259548586835691,0.0550989887097478,0.023127425669729716
mcldnn_reimplementation,MCLDNN,id_test,0.3,0.9971333333333332,0.9950969264755236,0.9991697401911428,0.10259548586835691,0.0550989887097478,0.023127425669729716
mcldnn_reimplementation,MCLDNN,id_test,0.5,0.9575199999999999,0.9529700201504677,0.9620699798495321,0.10259548586835691,0.0550989887097478,0.023127425669729716
mcldnn_reimplementation,MCLDNN,id_test,0.7,0.8282571428571428,0.8233951305986887,0.8331191551155969,0.10259548586835691,0.0550989887097478,0.023127425669729716
mcldnn_reimplementation,MCLDNN,id_test,0.9,0.7110222222222223,0.705121001311264,0.7169234431331807,0.10259548586835691,0.0550989887097478,0.023127425669729716
mcldnn_reimplementation,MCLDNN,id_test,1.0,0.6581400000000001,0.6526462535359099,0.6636337464640902,0.10259548586835691,0.0550989887097478,0.023127425669729716
mcldnn_reimplementation,MCLDNN,combined_ood,0.1,0.999,0.997988332561614,1.0000116674383859,0.12881499152345355,0.05129287417620419,0.06064743784070015
mcldnn_reimplementation,MCLDNN,combined_ood,0.2,0.999,0.9978815595647512,1.0001184404352488,0.12881499152345355,0.05129287417620419,0.06064743784070015
mcldnn_reimplementation,MCLDNN,combined_ood,0.3,0.9979333333333333,0.9964685813137018,0.9993980853529649,0.12881499152345355,0.05129287417620419,0.06064743784070015
mcldnn_reimplementation,MCLDNN,combined_ood,0.5,0.9315999999999999,0.9247259532186669,0.9384740467813328,0.12881499152345355,0.05129287417620419,0.06064743784070015
mcldnn_reimplementation,MCLDNN,combined_ood,0.7,0.7724285714285715,0.7640068231261448,0.7808503197309982,0.12881499152345355,0.05129287417620419,0.06064743784070015
mcldnn_reimplementation,MCLDNN,combined_ood,0.9,0.6552666666666667,0.6487629651607543,0.6617703681725791,0.12881499152345355,0.05129287417620419,0.06064743784070015
mcldnn_reimplementation,MCLDNN,combined_ood,1.0,0.6045200000000001,0.5987310774003386,0.6103089225996615,0.12881499152345355,0.05129287417620419,0.06064743784070015
