regime,axis,level_db,model,model_short,row_count,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std
unseen_jammer,sir_db,-5.0,iqformer_inspired,IQFormer,1017,0.5468216614442694,0.0164962841332077,0.5735496558505407,0.0147314069420252
unseen_jammer,sir_db,0.0,a0_backbone,A0,985,0.4649873018703748,0.0148943901809048,0.4793908629441624,0.012919975633424
unseen_jammer,sir_db,0.0,a5_vimd_full,A5-VIMD,985,0.4909472814435885,0.0159828643740281,0.4995939086294416,0.0108865860142362
unseen_jammer,sir_db,0.0,cssl_amc_supervised_adaptation,CSSL,985,0.5387419811992127,0.0142788405294153,0.5396954314720813,0.0128435201417373
unseen_jammer,sir_db,0.0,mcldnn_reimplementation,MCLDNN,985,0.6296815837955394,0.0160354602667217,0.6348223350253808,0.0099822191260763
unseen_jammer,sir_db,0.0,iqformer_inspired,IQFormer,985,0.6475609823160559,0.0121520426671704,0.6536040609137056,0.0098173749519966
unseen_jammer,sir_db,5.0,a0_backbone,A0,973,0.4920956032035135,0.0106574928023374,0.5307297019527235,0.0094344169800937
unseen_jammer,sir_db,5.0,a5_vimd_full,A5-VIMD,973,0.5338370489172106,0.0080735813023195,0.565775950668037,0.007141028977621
unseen_jammer,sir_db,5.0,cssl_amc_supervised_adaptation,CSSL,973,0.5759044017289543,0.015173039463687,0.5981500513874614,0.0113621952393127
unseen_jammer,sir_db,5.0,mcldnn_reimplementation,MCLDNN,973,0.6357502748806376,0.0063481778609511,0.6702980472764646,0.0050535358450389
unseen_jammer,sir_db,5.0,iqformer_inspired,IQFormer,973,0.6751248848197509,0.0086935283297113,0.6960945529290854,0.0055250483271184
unseen_jammer,sir_db,10.0,a0_backbone,A0,1042,0.4894356255792189,0.0088086958786637,0.5219769673704414,0.0091319428566545
unseen_jammer,sir_db,10.0,a5_vimd_full,A5-VIMD,1042,0.5231683218057879,0.0108674362262415,0.5559500959692898,0.0073234902240754
unseen_jammer,sir_db,10.0,cssl_amc_supervised_adaptation,CSSL,1042,0.5966777501276784,0.0095375698656819,0.6080614203454894,0.0105051187469091
unseen_jammer,sir_db,10.0,mcldnn_reimplementation,MCLDNN,1042,0.6587542371998563,0.0085748498358719,0.6835892514395394,0.0082189415646112
unseen_jammer,sir_db,10.0,iqformer_inspired,IQFormer,1042,0.706291139017843,0.0126994889035381,0.7233205374280229,0.0114722445314921
unseen_speed,snr_db,-10.0,a0_backbone,A0,610,0.184738452030826,0.0084295071155414,0.191639344262295,0.009158509070433
unseen_speed,snr_db,-10.0,a5_vimd_full,A5-VIMD,610,0.2025447063830895,0.0130666239409065,0.2099999999999999,0.012447746796531
unseen_speed,snr_db,-10.0,cssl_amc_supervised_adaptation,CSSL,610,0.1309287900463403,0.0172354492552565,0.1301639344262294,0.017004986858872
unseen_speed,snr_db,-10.0,mcldnn_reimplementation,MCLDNN,610,0.2242637203921339,0.01712408504016,0.2372131147540984,0.0180914759482394
unseen_speed,snr_db,-10.0,iqformer_inspired,IQFormer,610,0.2252579401003905,0.0130496839342664,0.2378688524590163,0.014090521817881
unseen_speed,snr_db,-6.0,a0_backbone,A0,635,0.3130583555933205,0.0182438049572898,0.3209448818897638,0.0163456171809163
unseen_speed,snr_db,-6.0,a5_vimd_full,A5-VIMD,635,0.3554589732948938,0.0124958607711612,0.3592125984251968,0.0150033924009505
unseen_speed,snr_db,-6.0,cssl_amc_supervised_adaptation,CSSL,635,0.2306910057963508,0.01133486881576,0.2305511811023622,0.0121576435059015
unseen_speed,snr_db,-6.0,mcldnn_reimplementation,MCLDNN,635,0.4274151294862777,0.019775414306468,0.4360629921259843,0.0174172247453647
unseen_speed,snr_db,-6.0,iqformer_inspired,IQFormer,635,0.4226451520983867,0.0187031482157924,0.435748031496063,0.0140864456983108
unseen_speed,snr_db,-2.0,a0_backbone,A0,626,0.4136244031812054,0.0152095972438709,0.4410543130990415,0.0144938649200011
unseen_speed,snr_db,-2.0,a5_vimd_full,A5-VIMD,626,0.4876981879674577,0.0094532730126335,0.5100638977635782,0.0088798352138576
