model,model_short,regime,coverage,accuracy_mean,accuracy_std
a5_vimd_full,A5-VIMD,id_test,0.62,0.7716774193548387,0.006454837903628784
a5_vimd_full,A5-VIMD,id_test,0.64,0.7590312499999999,0.00646076902994787
a5_vimd_full,A5-VIMD,id_test,0.66,0.747030303030303,0.006232904381659908
a5_vimd_full,A5-VIMD,id_test,0.68,0.735235294117647,0.005781488176614391
a5_vimd_full,A5-VIMD,id_test,0.7000000000000001,0.7239714285714285,0.005465123392581797
a5_vimd_full,A5-VIMD,id_test,0.7200000000000001,0.7126944444444444,0.005309440436650787
a5_vimd_full,A5-VIMD,id_test,0.74,0.7013513513513513,0.0053374101778734
a5_vimd_full,A5-VIMD,id_test,0.76,0.6906052631578948,0.0057548807018816825
a5_vimd_full,A5-VIMD,id_test,0.78,0.6808205128205128,0.005725602685819142
a5_vimd_full,A5-VIMD,id_test,0.8,0.670875,0.004896498181807549
a5_vimd_full,A5-VIMD,id_test,0.8200000000000001,0.661560975609756,0.004862033329893767
a5_vimd_full,A5-VIMD,id_test,0.8400000000000001,0.6525952380952379,0.004228676889861756
a5_vimd_full,A5-VIMD,id_test,0.86,0.6434651162790697,0.005007595936802604
a5_vimd_full,A5-VIMD,id_test,0.88,0.6338181818181818,0.004767072166766401
a5_vimd_full,A5-VIMD,id_test,0.9,0.6243555555555556,0.004974778637946673
a5_vimd_full,A5-VIMD,id_test,0.92,0.6152826086956522,0.005289408359140941
a5_vimd_full,A5-VIMD,id_test,0.9400000000000001,0.6062553191489362,0.005177984993715349
a5_vimd_full,A5-VIMD,id_test,0.9600000000000001,0.5972916666666666,0.0051304359909066285
a5_vimd_full,A5-VIMD,id_test,0.98,0.5888163265306122,0.0050430145674609005
a5_vimd_full,A5-VIMD,id_test,1.0,0.5799,0.0051719328001134015
a5_vimd_full,A5-VIMD,combined_ood,0.02,1.0,0.0
a5_vimd_full,A5-VIMD,combined_ood,0.04,0.9994999999999999,0.0015811388300841912
a5_vimd_full,A5-VIMD,combined_ood,0.06,0.9993333333333332,0.0014054567378525987
a5_vimd_full,A5-VIMD,combined_ood,0.08,0.99925,0.0012076147288490942
a5_vimd_full,A5-VIMD,combined_ood,0.1,0.9987999999999999,0.0013984117975602034
a5_vimd_full,A5-VIMD,combined_ood,0.12000000000000001,0.9986666666666666,0.0013146843962443518
a5_vimd_full,A5-VIMD,combined_ood,0.13999999999999999,0.9988571428571428,0.0011268723396380357
a5_vimd_full,A5-VIMD,combined_ood,0.16,0.998625,0.001094493794713645
a5_vimd_full,A5-VIMD,combined_ood,0.18,0.998,0.000876456264162918
a5_vimd_full,A5-VIMD,combined_ood,0.19999999999999998,0.9972,0.001032795558988643
a5_vimd_full,A5-VIMD,combined_ood,0.22,0.9956363636363637,0.002299838298304284
a5_vimd_full,A5-VIMD,combined_ood,0.24,0.9915833333333334,0.003897807234146923
a5_vimd_full,A5-VIMD,combined_ood,0.26,0.9836153846153846,0.004932816221098992
a5_vimd_full,A5-VIMD,combined_ood,0.28,0.9700714285714284,0.008692595958043609
a5_vimd_full,A5-VIMD,combined_ood,0.30000000000000004,0.9524666666666667,0.009296488119608655
a5_vimd_full,A5-VIMD,combined_ood,0.32,0.9293125,0.010819101228331737
a5_vimd_full,A5-VIMD,combined_ood,0.34,0.9048823529411765,0.00965793265696437
a5_vimd_full,A5-VIMD,combined_ood,0.36000000000000004,0.8791111111111111,0.008094096817569056
a5_vimd_full,A5-VIMD,combined_ood,0.38,0.8564736842105264,0.007865638382173827
a5_vimd_full,A5-VIMD,combined_ood,0.4,0.8324,0.006995236474439815
a5_vimd_full,A5-VIMD,combined_ood,0.42000000000000004,0.8113809523809523,0.007787328117776201
a5_vimd_full,A5-VIMD,combined_ood,0.44,0.7901363636363636,0.007307524079511144
a5_vimd_full,A5-VIMD,combined_ood,0.46,0.7695217391304348,0.006328705237005084
a5_vimd_full,A5-VIMD,combined_ood,0.48000000000000004,0.7500833333333332,0.005313475763693486
a5_vimd_full,A5-VIMD,combined_ood,0.5,0.73144,0.005084879546262633
a5_vimd_full,A5-VIMD,combined_ood,0.52,0.714076923076923,0.006620153319997668
a5_vimd_full,A5-VIMD,combined_ood,0.54,0.6977777777777778,0.007357858975679664
a5_vimd_full,A5-VIMD,combined_ood,0.56,0.6829642857142858,0.006904864531257023
a5_vimd_full,A5-VIMD,combined_ood,0.5800000000000001,0.6676896551724139,0.00694056834619176
a5_vimd_full,A5-VIMD,combined_ood,0.6,0.6539666666666667,0.00733072344130098
a5_vimd_full,A5-VIMD,combined_ood,0.62,0.641258064516129,0.007087726392713496
a5_vimd_full,A5-VIMD,combined_ood,0.64,0.6285625,0.006789557443440467
a5_vimd_full,A5-VIMD,combined_ood,0.66,0.6162121212121211,0.00700583516466479
a5_vimd_full,A5-VIMD,combined_ood,0.68,0.6052352941176471,0.0061457374193442365
a5_vimd_full,A5-VIMD,combined_ood,0.7000000000000001,0.5938571428571428,0.006314867458657273
a5_vimd_full,A5-VIMD,combined_ood,0.7200000000000001,0.5824444444444443,0.006765978395534075
a5_vimd_full,A5-VIMD,combined_ood,0.74,0.572945945945946,0.006624470797208859
a5_vimd_full,A5-VIMD,combined_ood,0.76,0.5631842105263158,0.006043662309308515
a5_vimd_full,A5-VIMD,combined_ood,0.78,0.5535641025641025,0.006085145962750257
