split,model,model_short,modulation,support,f1_mean,f1_std,recall_mean,collapsed_class
clean_retention,cssl_amc_supervised_adaptation,CSSL,GMSK,500,0.85223616334497,0.01267072129709527,0.8784000000000001,False
clean_retention,cssl_amc_supervised_adaptation,CSSL,CPFSK,500,0.7755466305821149,0.010906027347011637,0.7854,False
clean_retention,cssl_amc_supervised_adaptation,CSSL,4FSK,500,0.7456479547250876,0.015359265172416155,0.7348,False
clean_retention,mcldnn_reimplementation,MCLDNN,BPSK,500,0.9017517000305773,0.03350121179313401,0.9134,False
clean_retention,mcldnn_reimplementation,MCLDNN,PI2BPSK,500,0.860310998102106,0.025559216429451692,0.9151999999999999,False
clean_retention,mcldnn_reimplementation,MCLDNN,QPSK,500,0.7360648984728142,0.013828069063237408,0.6242,False
clean_retention,mcldnn_reimplementation,MCLDNN,8PSK,500,0.6912765601213252,0.03614017853991548,0.8246,False
clean_retention,mcldnn_reimplementation,MCLDNN,16QAM,500,0.057706337040742295,0.048949634329890725,0.036000000000000004,False
clean_retention,mcldnn_reimplementation,MCLDNN,64QAM,500,0.08117689495743802,0.06244113479826565,0.0524,False
clean_retention,mcldnn_reimplementation,MCLDNN,256QAM,500,0.4399797997961401,0.013275391975317795,0.7494,False
clean_retention,mcldnn_reimplementation,MCLDNN,GMSK,500,0.9415256273208797,0.007618009643291158,0.9432,False
clean_retention,mcldnn_reimplementation,MCLDNN,CPFSK,500,0.8561459219660346,0.01573663063435358,0.8804000000000001,False
clean_retention,mcldnn_reimplementation,MCLDNN,4FSK,500,0.8482787456971851,0.007313855473518088,0.826,False
clean_retention,iqformer_inspired,IQFormer,BPSK,500,0.8869259837368185,0.021927856755068937,0.9342,False
clean_retention,iqformer_inspired,IQFormer,PI2BPSK,500,0.8735623507117382,0.019082324504701167,0.905,False
clean_retention,iqformer_inspired,IQFormer,QPSK,500,0.7444824852369859,0.008482745713213866,0.6352,False
clean_retention,iqformer_inspired,IQFormer,8PSK,500,0.6947049719595686,0.034695656143869484,0.8328000000000001,False
clean_retention,iqformer_inspired,IQFormer,16QAM,500,0.5368363447027883,0.056649842225982065,0.40919999999999995,False
clean_retention,iqformer_inspired,IQFormer,64QAM,500,0.0349626462397335,0.029072108609097765,0.0194,True
clean_retention,iqformer_inspired,IQFormer,256QAM,500,0.5021293819546162,0.014473554925087985,0.7662000000000001,False
clean_retention,iqformer_inspired,IQFormer,GMSK,500,0.9367402345293394,0.005511154861867073,0.9558,False
clean_retention,iqformer_inspired,IQFormer,CPFSK,500,0.8503961618038579,0.011380656721516273,0.8892,False
clean_retention,iqformer_inspired,IQFormer,4FSK,500,0.8581635379117071,0.00946603098458664,0.827,False
